1.37809e+05	5.17532e+03	5.35096e+01	1.48335e+06
4.69772e+04	5.42564e+02	1.54030e+01	4.90601e+05
4.57941e+04	5.29932e+02	1.34543e+01	4.76695e+05
4.54845e+04	5.73274e+02	1.30429e+01	4.73621e+05
4.51859e+04	6.25402e+02	1.29215e+01	4.71035e+05
4.48611e+04	6.77671e+02	1.28665e+01	4.68254e+05
4.46770e+04	7.29902e+02	1.28726e+01	4.66941e+05
4.46018e+04	7.81675e+02	1.29617e+01	4.66796e+05
4.43138e+04	8.29609e+02	1.30328e+01	4.64467e+05
4.41046e+04	8.72279e+02	1.31031e+01	4.62872e+05
4.05845e+04	1.48488e+02	9.25367e+00	4.16583e+05
4.06113e+04	2.24788e+02	9.54283e+00	4.17903e+05
4.01954e+04	2.84064e+02	9.65406e+00	4.14448e+05
3.97967e+04	3.38191e+02	9.76812e+00	4.11117e+05
3.95352e+04	3.87179e+02	9.87016e+00	4.09094e+05
3.92505e+04	4.30995e+02	9.92051e+00	4.06736e+05
3.91285e+04	4.73557e+02	1.00437e+01	4.06064e+05
3.90718e+04	5.14113e+02	1.01938e+01	4.06053e+05
3.89269e+04	5.51172e+02	1.03031e+01	4.05083e+05
3.88300e+04	5.85172e+02	1.03939e+01	4.04545e+05
3.60963e+04	1.10909e+02	7.37334e+00	3.69445e+05
3.69766e+04	1.74867e+02	7.91966e+00	3.79435e+05
3.67184e+04	2.22676e+02	8.09480e+00	3.77506e+05
3.64818e+04	2.66488e+02	8.25951e+00	3.75742e+05
3.62462e+04	3.06269e+02	8.38761e+00	3.73912e+05
3.61049e+04	3.43346e+02	8.50090e+00	3.72983e+05
3.59798e+04	3.78985e+02	8.63697e+00	3.72225e+05
3.58544e+04	4.11134e+02	8.74655e+00	3.71402e+05
3.57424e+04	4.41565e+02	8.85238e+00	3.70692e+05
3.56376e+04	4.69477e+02	8.95165e+00	3.70022e+05
3.31456e+04	9.08419e+01	6.21161e+00	3.38576e+05
3.25475e+04	1.36561e+02	6.31416e+00	3.33155e+05
3.21464e+04	1.72517e+02	6.40791e+00	3.29597e+05
3.19285e+04	2.06212e+02	6.54522e+00	3.27892e+05
3.17533e+04	2.37627e+02	6.66965e+00	3.26578e+05
3.16224e+04	2.67290e+02	6.78393e+00	3.25680e+05
3.15237e+04	2.93946e+02	6.87422e+00	3.25050e+05
3.13867e+04	3.18223e+02	6.95515e+00	3.24004e+05
